2012-09-05 20:45
2012-09-10 22:39:44.302148
2012-09-11 22:39:10.912842
2012-09-12 22:41:14.307716
2012-09-13 23:16:41.505706
2012-09-20 23:03:06.860543
2012-09-21 21:30
2012-09-24 19:53:28.138254
2012-09-25 21:14:41.151906
2012-09-27 22:07:31.354787
2012-10-01 22:14:56.240125
2012-10-03 22:39:39.959108
2012-10-10 23:17:14.459101
2012-10-11 23:27:51.567073
2012-10-15 21:43:38.118768
2012-10-16 20:45
2012-10-17 21:06:25.810326
2012-10-18 21:53:26.911116
2012-10-19 20:00
2012-10-23 22:30
2012-10-24 20:33:40.593183
2012-10-25 21:40:42.704503
2012-10-26 21:54:13.104436
2012-10-29 20:30
2012-10-30 23:14:18.043613
2012-10-31 22:20
2012-11-01 21:30:32.438758
